scenario,transport,payload_bytes,concurrency,repetitions,source_files,throughput_messages_per_second,throughput_megabytes_per_second,p50_latency_ms,p95_latency_ms,p99_latency_ms,p95_inter_arrival_ms,inter_arrival_jitter_ms,duplicates,ordering_violations,pre_failure_throughput_msg_s,recovery_window_throughput_msg_s,post_recovery_throughput_msg_s,time_to_first_post_failure_message_ms,time_to_sustained_target_ms,throughput_debt_recovery_window_msg,recovery_window_p95_latency_ms,post_failure_duplicates,post_failure_ordering_violations,backlog_drain_ms
clean,nats-jetstream,4096,16,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,12863.153749470799,50.246694333870344,709.801479,985.4774255,1073.107249,0.011968,1.2760134300116601,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,16384,1,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,4819.34774993982,75.30230859280964,1347.725755,2015.601571,2108.4443325,0.12859150000000003,1.7739625694132202,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,16384,4,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,5525.166982068125,86.33073409481446,1364.5524440000002,2076.9363825,2176.680489,0.059052499999999994,1.9785582302978049,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,16384,8,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,5996.77462895866,93.69960357747895,1333.9466115,2048.9086445000003,2113.7682045,0.04851,2.301468023626595,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,16384,16,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,5236.172467668455,81.81519480731961,1789.6771039999999,2577.1385240000004,2804.2754415,0.050361,2.728367818153715,0.0,0.0,,,,,,,,0.0,0.0,
clean,rabbitmq-streams,256,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,19183.138981845503,4.683383540489629,145.4733391,249.22948260000004,261.8052434,0.0052829,0.7069966115507651,0.0,0.0,,,,,,,,0.0,0.0,
clean,rabbitmq-streams,256,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,25848.035273425652,6.310555486676184,181.3156607,320.1398653,339.6542121,0.0025155,0.7103520311785161,0.0,0.0,,,,,,,,0.0,0.0,
clean,rabbitmq-streams,256,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,24362.204718916968,5.94780388645434,204.2824282,336.117919,361.3289443,0.0025398,0.5948562790304346,0.0,0.0,,,,,,,,0.0,0.0,
clean,rabbitmq-streams,256,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,20817.79023425295,5.082468318909406,219.33791549999995,404.62813109999996,466.07279589999996,0.0028610000000000003,0.6046548758430373,0.0,0.0,,,,,,,,0.0,0.0,
clean,rabbitmq-streams,1024,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,16007.942185663642,15.632756040687166,233.45205879999997,393.7261823,408.9397955,0.0082264,1.119156620086096,0.0,0.0,,,,,,,,0.0,0.0,
